,Company Name,Location,Industry,Produktbeschreibung,Vertriebserfolge,Mitbewerber-Analyse,Beschreibung der Marktsituation,Durchgeführte Marktanalyse,Zielbranchen,Sales-Channel,Vertriebsaktivitäten,Team Members,Finanzierungs-Summe,Phase,Art der Finanzierung,Finanzierungsziel,Business Type,Looking for Investment
4816,Pearl Global,Perth,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITNachhaltigkeit,N/A,Nein,,3.000.000 AUD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4817,PearFunds,Miami,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufBanken & Finanzen + Versicherung,N/A,Nein,Adriana Vizcarrondo,N/A,N/A,Seed,N/A,N/A,N/A
4818,Pear Sports LLC,Irvine,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungGesundheitswesen & SozialesMobilfunkbrancheSoftwareSport & Unterhaltung,N/A,Nein,"Bob Allison, Kristian Rauhala, Eric Franchomme, Alan W. Pettis",9.265.095 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4819,Pear,Santa Clara,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaVideo,N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
4820,Peakos,Greenwood Village,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & Einkauf,N/A,Nein,Hart Williams,1.200.000 USD,N/A,Seed,N/A,N/A,N/A
4821,Peak-Dynamics,Hod Hasharon,Energie & Umwelt,N/A,N/A,N/A,Keine Angabe,Nein,Energie & UmweltNatürliche Ressourcen,N/A,Nein,,342.000 USD,N/A,Seed,N/A,N/A,N/A
4822,Peak Games,Istanbul,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaGamingMobilfunkbranche,N/A,Nein,"Evren Ucok, Hakan Bas, Pamir Gelenbe, Sidar Sahin, Jason Whitmire, Ali Kutay, Rina Onur Sirinoglu, Roland Manger, Omer Inonu, Alper Mat, Serdar Sahin, Safa Sofuoglu, Ramis Budak, Eda Azaroglu, Eray Eren, Dilara Yesil, Ozgür Bayraktar, Gulistan van der Linden, Erdem Inan, Pınar Sert",18.000.000 USD,N/A,Series C,N/A,N/A,N/A
4823,"Peak Consulting Partners, Inc.",Evergreen,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,"Gesundheitswesen & SozialesDienstleistung, Beratung + Recht & Steuern",N/A,Nein,,125.000 USD,N/A,Seed,N/A,N/A,N/A
4824,Peach Payments,Cape Town,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufBanken & Finanzen + VersicherungMobilfunkbrancheZahlungenSoftware,N/A,Nein,"Rahul Jain, Andreas Demleitner",69.384 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4825,Peach Aviation ltd,Osaka,"Verkehr, Transport & Logistik + Automobil",N/A,N/A,N/A,Keine Angabe,Nein,"Verkehr, Transport & Logistik + Automobil",N/A,Nein,,10.000.000 JPY,N/A,Pre-Seed,N/A,N/A,N/A
4826,Paxos Technology Solutions LLC,New York,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + VersicherungZahlungenSoftware,N/A,Nein,"Charles Cascarilla, Jim Robinson, Jim Manzi, Sheila Bair, Duncan L. Niederauer, Richard Kang, Richmond Teo, Andrew Chang, Rob Thorpe, Robert Herz, Corey Wendling, Dorothy Jean Chang, Nancy Dornbush, Sen. Bill Bradley, John Bumgarner, Kevin Wang, Rohit Lalwani, Daniel Burstein, Daniel Corry, Daniel Kim, Andrew Watts-Curnow, Jamar Parris",538.477.868 USD,N/A,Series D,N/A,N/A,N/A
4827,Paxer,Providencia,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufSoftware,N/A,Nein,"Serge Ohayon, Andras Leal",40.000 USD,N/A,Seed,N/A,N/A,N/A
4828,"Pax8, Inc.",Greenwood Village,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITHandel & EinkaufPrivatsphäre & SicherheitSoftware,N/A,Nein,"John Street, Klaus Dimmler, Ryan Walsh, Michael Dehmlow, Nick Heddy, Jeremy Yoder, Scott Stuart, Todd Clapp, Simon Green",159.950.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4829,PAX Pure,San Rafael,Energie & Umwelt,N/A,N/A,N/A,Keine Angabe,Nein,Energie & UmweltForschung & EntwicklungGesundheitswesen & SozialesProduktionNachhaltigkeit,N/A,Nein,"Philip O'Connor, Kimberly Morris",N/A,N/A,Seed,N/A,N/A,N/A
4830,"pawTree, LLC",Southlake,Agrikultur & Landwirtschaft,N/A,N/A,N/A,Keine Angabe,Nein,Agrikultur & LandwirtschaftHandel & EinkaufLebensmittel & Getränke,N/A,Nein,"Kristi Diaz, Eric Uhtenwoldt, Roger Morgan, Nancy Lewis, Melissa Davis",24.472.206 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4831,Paws for Life,Sydney,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufLebensmittel & Getränke,N/A,Nein,"Elaine Stead, Mike Frizell, Justine Watson, James Edwards, Bryan Brown",2.500.000 USD,N/A,Series A,N/A,N/A,N/A
4832,Pawan Infrahomes,Vadodara,Bau und Gebäudetechnik,N/A,N/A,N/A,Keine Angabe,Nein,Bau und Gebäudetechnik,N/A,Nein,,N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
4833,Pavise Capital Management LLC,Mahwah,,N/A,N/A,N/A,Keine Angabe,Nein,,N/A,Nein,,25.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4834,Paul Evans LLC,New York,Handel & Konsum,N/A,N/A,N/A,Keine Angabe,Nein,Handel & KonsumTextil & ModeHandel & EinkaufDesignVertrieb & Marketing,N/A,Nein,Evan Fript,200.000 USD,N/A,Seed,N/A,N/A,N/A
4835,Patterns,Kansas City,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,"Handel & EinkaufDienstleistung, Beratung + Recht & Steuern",N/A,Nein,Logan Merriam,N/A,N/A,Seed,N/A,N/A,N/A
4836,Pattern Genomics,Madison,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,Daniel Fasulo,150.000 USD,N/A,Seed,N/A,N/A,N/A
4837,Patozon,Shenzhen,Vertrieb & Marketing,N/A,N/A,N/A,Keine Angabe,Nein,"Vertrieb & MarketingVerkehr, Transport & Logistik + Automobil",N/A,Nein,,12.240.000 CNY,N/A,Venture - Series Unknown,N/A,N/A,N/A
4838,PatientSource Ltd.,Cambridge,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITGesundheitswesen & SozialesInternet & Multimedia,N/A,Nein,Philip Ashworth,N/A,N/A,Seed,N/A,N/A,N/A
4839,PatientCredit Inc.,Nashville,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & Soziales,N/A,Nein,"James Lackey, David Frederiksen, John Hunnicutt",1.045.000 USD,N/A,Seed,N/A,N/A,N/A
4840,"PatientBond, LLC",Elmhurst,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & Soziales,N/A,Nein,"Anurag Juneja, JONATHAN PHILLIPS, Casey Albertson",11.144.567 USD,N/A,Series C,N/A,N/A,N/A
4841,PathSource,Burlingame,Verwaltungsdienstleistungen,N/A,N/A,N/A,Keine Angabe,Nein,VerwaltungsdienstleistungenSoftware,N/A,Nein,"Aaron Michel, Jacqui Deegan, Alex Li, Andrew Tu, Brook Zhang, Nathan Cheng, Raykin Lei, Joyce Qin, Michael Ji, Tim Lewis, Christine Higgins",650.000 USD,N/A,Seed,N/A,N/A,N/A
4842,PathSensors Inc.,Baltimore,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungBiotechnologieProduktion,N/A,Nein,Theodore J. Olsen,2.423.894 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4843,PathoQuest SAS,Paris,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,"Pascale Beurdeley, Oréda Boussadia, Marc Eloit, Stéphane Cruveiller, Jean François Brepson, Patrick Court, Luc Boblet, Jean-Marie Charpin, Colette Cote",19.800.000 EUR,N/A,Venture - Series Unknown,N/A,N/A,N/A
4844,"Pathgather, Inc.",New York,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungVerwaltungsdienstleistungenSoftware,N/A,Nein,"Jamie Davidson, Nikhil Gidwani, Eric Duffy, Brad Zomick, John Ohrenberger, Neville Samuell, Josh Painter",3.820.000 USD,N/A,Seed,N/A,N/A,N/A
4845,PathFactory Inc.,Toronto,Vertrieb & Marketing,N/A,N/A,N/A,Keine Angabe,Nein,Vertrieb & MarketingSoftware,N/A,Nein,"Tim Kopp, Paul Teshima, Dev Ganesan, Jamie Egasti, Gregg Michaelson, Mark Opausky, Elle Woulfe, Nick Edouard, Motek W. Sherman, Dwayne Walker, Paul Hill, Helen Baptist, Heather Foeh, Stephen Streich, Helen Yu",15.000.000 USD,N/A,Series B,N/A,N/A,N/A
4846,PayParrot,Santiago,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,"Handel & EinkaufDienstleistung, Beratung + Recht & Steuern",N/A,Nein,Felipe Rios,40.000 USD,N/A,Seed,N/A,N/A,N/A
4847,Paymium,Boulogne,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITBanken & Finanzen + VersicherungZahlungenPrivatsphäre & SicherheitSoftware,N/A,Nein,"Pierre Noizat, Stephan Florquin, Dominique Rodrigues, Richard Caetano, Guillaume Berche, Gonzague Grandval, Anthony Grouselle, Pierre Michard",1.060.000 EUR,N/A,Seed,N/A,N/A,N/A
4848,PayMins,Dublin,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + VersicherungMobilfunkbrancheZahlungenSoftware,N/A,Nein,"Mike Tesar, Patrick Walsh",185.000 USD,N/A,Seed,N/A,N/A,N/A
4849,PAYMILL GmbH,Munich,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufBanken & Finanzen + VersicherungZahlungen,N/A,Nein,"Jon Soberg, Kilian Thalhammer, Valentin Stalf, Mark Henkel, Sven Achter, Christian Braun, Klaus-Christian Glueckert, Lars Funke, Clarissa Amaral, Corentin Guillemard, Jörg Sutara, Stefan Sambol",18.000.000 USD,N/A,Series A,N/A,N/A,N/A
4850,PayMet Ltd.,London,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + VersicherungMobilfunkbrancheZahlungenPrivatsphäre & SicherheitVertrieb & MarketingSoftware,N/A,Nein,"Cristóbal Rosa, Natalia Lanuza, Marta Fernández, Andreu Puig",N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
4851,Paymento S.A.,Tychy,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,"Handel & EinkaufBanken & Finanzen + VersicherungKredite & KapitalanlagenMobilfunkbrancheZahlungenPrivatsphäre & SicherheitDienstleistung, Beratung + Recht & SteuernSoftware",N/A,Nein,"Bartlomiej Gola, Jan Czerepok, Tomasz Czapliński, Piotr Owczarek, Piotr Kupczak, Grzegorz Kowalczyk, Wojciech Kozłowski, Rafał Sasiak",3.000.000 PLN,N/A,Seed,N/A,N/A,N/A
4852,payleven,São Paulo,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITBanken & Finanzen + VersicherungMobilfunkbrancheZahlungenSoftware,N/A,Nein,"Valentin Stalf, Jean Claude Donato, Konstantin Wolff, Rafael Otero, Sven Achter, Alston Zecha, Adrien Hingert, Adriana Barbosa, Janis Kuenkler, Hidai Degani, Jens Kade, Alexander Zumdieck, Felix Hlatky, Théo Blochet",53.678.077 USD,N/A,Series D,N/A,N/A,N/A
4853,PayGreen,Bois-guillaume,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaBanken & Finanzen + VersicherungMobilfunkbrancheZahlungenSoftware,N/A,Nein,"Renaud Gerson, Nicolas Weissleib, Etienne Beaugrand, Stefan Vogel",1.230.750 USD,N/A,Series B,N/A,N/A,N/A
4854,Payfirma Corporation,Vancouver,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufBanken & Finanzen + VersicherungMobilfunkbrancheZahlungenSoftware,N/A,Nein,"Ryan Holmes, Jeff Natland, Lance Tracey, Michael Gokturk, Kalle Radage, Sunan Spriggs, Roger Hardy, Kiki Plytas, Ayman Hafez, Jason Collinge, Yves Millette, Dave Kennett, Zoé Denom, John Rante, Brad Brooks, Ben Yua, Robin Jones, Marc Levy, Dave Kelly, Carmela Samonte, Adam Atlas",23.503.608 USD,N/A,Series A,N/A,N/A,N/A
4855,Payette Brewing Co,Boise,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,Lebensmittel & Getränke,N/A,Nein,,1.255.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4856,PayEgis,Suzhou,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + Versicherung,N/A,Nein,Dejia Wang,165.022.014 USD,N/A,Series D,N/A,N/A,N/A
4857,"Paydiant, Inc.",Wellesley,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufBanken & Finanzen + VersicherungMobilfunkbrancheZahlungenSoftware,N/A,Nein,"Michael Rubin, Chris Gardner, Jim Moran, John Simon, Jeffrey Barnett, Kevin Laracey, Melinda Smith, Jed Rice, John Polcari, Evan Davis",34.600.000 USD,N/A,Series C,N/A,N/A,N/A
4858,Payday Investor,Ikoyi,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + Versicherung,N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
4859,PayConnect,Abuja,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaAppsSoftware,N/A,Nein,Victor Jibro,N/A,N/A,Seed,N/A,N/A,N/A
4860,Paybyway,Moscow,Apps,N/A,N/A,N/A,Keine Angabe,Nein,AppsSoftware,N/A,Nein,"Olli Sirkiä, Ville Nuuja",N/A,N/A,Seed,N/A,N/A,N/A
4861,Paybook,Austin,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + VersicherungSoftware,N/A,Nein,"Steven Weidman, Gerardo Treviño, Boris Portman, Rafael Fong, Monique Acuff, Eduardo Alexander, Xochitl Castaño, Oliver Meek",2.010.000 USD,N/A,Seed,N/A,N/A,N/A
4862,PayAllies,Wan Chai,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & EinkaufBanken & Finanzen + VersicherungZahlungen,N/A,Nein,Carlos Grajeda,40.000 USD,N/A,Seed,N/A,N/A,N/A
4863,"PayActiv, Inc.",San Jose,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesVerwaltungsdienstleistungenBanken & Finanzen + VersicherungMobilfunkbrancheZahlungenSoftware,N/A,Nein,"Kabir Misra, Safwan Shah, Baba Shiv, Ijaz Anwar, Sohail Aslam, Sabina Bhatia, Adil Shabbir, David Reidy, Shehzad Zaman, Mitchell Oshima, Todd Boehly, Dan Quan, Sridhar Ande",133.699.998 USD,N/A,Series C,N/A,N/A,N/A
4864,Pay per TIC,Buenos Aires,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + Versicherung,N/A,Nein,Federico Barros Vito,N/A,N/A,Seed,N/A,N/A,N/A
4865,Pay By Group Inc.,San Francisco,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & EinkaufBanken & Finanzen + VersicherungZahlungen,N/A,Nein,"Camilo Acosta, Dan Oblinger, Frank Langston, Azat Mardanov, Peter Ashley, Federico Soria",3.400.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4866,Pathee,Tokyo,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaDaten & AnalytikNavigation & Kartografie,N/A,Nein,"Makoto Hirose, Terada Shinsuke, Kentaro Sakakibara",9.666.166 USD,N/A,Series A,N/A,N/A,N/A
4867,PathDrugomics,San Francisco,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesKünstliche IntelligenzBiotechnologieDaten & AnalytikSoftware,N/A,Nein,"Todd Meyerrose, Morio Alexander",28.000 USD,N/A,Seed,N/A,N/A,N/A
4868,"PathAR, LLC",Colorado Springs,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITDaten & Analytik,N/A,Nein,,300.000 USD,N/A,Seed,N/A,N/A,N/A
4869,Patent Fund,Wroclaw,Verwaltungsdienstleistungen,N/A,N/A,N/A,Keine Angabe,Nein,"VerwaltungsdienstleistungenDienstleistung, Beratung + Recht & Steuern",N/A,Nein,"Maciej Jarzebowski, Mariusz Cieply, Urszula Jarzebowska",4.000.000 PLN,N/A,Seed,N/A,N/A,N/A
4870,Pastel Dress Party,Toronto,,N/A,N/A,N/A,Keine Angabe,Nein,,N/A,Nein,,N/A,N/A,Pre-Seed,N/A,N/A,N/A
4871,PasswordBox Inc.,San Francisco,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaPrivatsphäre & SicherheitSoftware,N/A,Nein,"Alireza Masrour, Mark Britto, Damien Steel, Ian Jeffrey, Alan MacIntosh, Sylvain Carle, Yen Lee, Ron Hirson, Mike Cegelski, Richard Reiner, Martin Archambault, Daniel Robichaud, Cory Ondrejka, Marc-Antoine Ross, Carl Mercier, Maeghan Smulders, Sébastien Malherbe, Jeremy Toeman, Michael Lakhia, Grant Harris, Curtis Wells, Gregory Whiteside, Alexandre Cormier, Richard Bruno, Manoj Verma, Magaly Charbonneau",8.535.000 USD,N/A,Series A,N/A,N/A,N/A
4872,Passportal,Calgary,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & IT,N/A,Nein,Colin Knox,N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
4873,"PassportParking, Inc.",Charlotte,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,"Internet & MultimediaBanken & Finanzen + VersicherungHardwareMobilfunkbrancheZahlungenSoftwareVerkehr, Transport & Logistik + Automobil",N/A,Nein,"Matt Harris, Charlie Youakim, Russell Yue, Bob Youakim, Habib Kairouz, Mia Bernad, Scott Hilleboe, Don Rainey, Bret Maxwell, Jason Idilbi, Brad Powers, Ross Shanken, Andrew Winslow, Kate Haffey, Khristian Gutierrez, Cameron Newton, Michael Scully, Ben Winokur, Andrew Gerst, Steven Shelby, Akshay Pottathil, Justin Cruz, Hunter J. Louis, Stephen Goldsmith, Kristin Gatter, Chris Schramm, David Kim, Michael Rafferty, Keith Chen, Divya Venkataramanappa",123.537.500 USD,N/A,Series D,N/A,N/A,N/A
4874,Passnfly,Barcelona,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungReisen & Tourismus,N/A,Nein,"Simon Ramery, Louis Tag, Shaz Hussain, Lars-Ole Hansen, Carlos Henriquez, Falko Rümmler, Raimon Albiol, Jose Manuel Mas, Oriol Balaguer",15.000 EUR,N/A,Seed,N/A,N/A,N/A
4875,PASSMEDIA,Beijing,Gaming,N/A,N/A,N/A,Keine Angabe,Nein,GamingVideo,N/A,Nein,,14.000.000 CNY,N/A,Series A,N/A,N/A,N/A
4876,"PassKit, Inc.",Hong Kong,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaUnterhaltungselektronikBanken & Finanzen + VersicherungHardwareMobilfunkbrancheZahlungenVertrieb & MarketingSoftware,N/A,Nein,"Nick Murray, Paul Tomes, Wendy Chan",2.100.000 USD,N/A,Series A,N/A,N/A,N/A
4877,Passionistas,Santiago,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaHandel & Einkauf,N/A,Nein,Henrik Eggert,40.000 USD,N/A,Seed,N/A,N/A,N/A
4878,Passei Direto S/A,Rio De Janeiro,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungEDV & ITSoftware,N/A,Nein,"Manoel Lemos, Joao Costa, Rodrigo Salvador, Bruna Flor, Andre Simoes, Carla Vitorino",6.550.000 USD,N/A,Series B,N/A,N/A,N/A
4879,"Passare, Inc.",San Francisco,Gesundheitswesen & Soziales,N/A,N/A,N/A,Keine Angabe,Nein,Gesundheitswesen & SozialesInternet & MultimediaGemeinschaft & LifestyleSoftware,N/A,Nein,"Anna Anisin, Charles Picasso, Dan McEntee, Mark Culpepper, Mattias Bottner, Jennifer Harrell",6.000.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4880,circlace,Tokyo,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,"EDV & ITDienstleistung, Beratung + Recht & SteuernVertrieb & Marketing",N/A,Nein,"James McHugh, Tsukasa Sato, Sato Jun, Jun Sato, Koichi Morimoto, Izumi Fujioka, Hiroki Sato, James McHugh",N/A,N/A,Series A,N/A,N/A,N/A
4881,Partyindk,Aarhus,Gemeinschaft & Lifestyle,N/A,N/A,N/A,Keine Angabe,Nein,Gemeinschaft & Lifestyle,N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
4882,"PartsTech, Inc.",Cambridge,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & Einkauf,N/A,Nein,"Erik St. Pierre, Greg Kirber, Olexy Sadovy, Shaun Healey",16.539.998 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4883,PARts,Sydney,"Verkehr, Transport & Logistik + Automobil",N/A,N/A,N/A,Keine Angabe,Nein,"Verkehr, Transport & Logistik + Automobil",N/A,Nein,,N/A,N/A,Seed,N/A,N/A,N/A
4884,Partners for Breakfast in the Classroom,Washington,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungGesundheitswesen & SozialesLebensmittel & Getränke,N/A,Nein,,7.500.000 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4885,Partnered,San Francisco,Marketing & PR,N/A,N/A,N/A,Keine Angabe,Nein,Marketing & PRVertrieb & Marketing,N/A,Nein,"Gary Vaynerchuk, Troy Carter, Fran Hauser, Jalak Jobanputra, Bear Kittay, Baldwin Cunningham, Cullen Wilson, David Matthews, Nathaniel Whittemore, Austin Diamond, Stuart Ross, Jessie Pray, Scott Oller",1.098.400 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4886,"PANNA COOKING, INC.",New York,Lebensmittel & Getränke,N/A,N/A,N/A,Keine Angabe,Nein,Lebensmittel & GetränkeReisen & Tourismus,N/A,Nein,"Sudhin Shahani, David Ellner, David Levy",1.384.396 USD,N/A,Seed,N/A,N/A,N/A
4887,Panl,Toronto,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITInternet & MultimediaTelekommunikationMobilfunkbranchePlattformenSoftware,N/A,Nein,John Alsop,300.000 USD,N/A,Series A,N/A,N/A,N/A
4888,Interactive Innovation Group Inc.,Santa Monica,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,"Handel & EinkaufBanken & Finanzen + VersicherungMobilfunkbrancheZahlungenVerkehr, Transport & Logistik + Automobil",N/A,Nein,"Andrew Parker, Brian Hartnack, Brandon Ramsey, Jon Alain Guzik, Chad Billmyer, Brian Moynihan, Todd Simmons, Juan Vasconez, Gary Shikhelman, James A. Raj, Tom Gerken",6.472.500 USD,N/A,Series A,N/A,N/A,N/A
4889,"Pangea USA, LLC",Chicago,Banken & Finanzen + Versicherung,N/A,N/A,N/A,Keine Angabe,Nein,Banken & Finanzen + VersicherungMobilfunkbrancheZahlungenSoftware,N/A,Nein,"Kyle Stoner, Rahier Rahman, Imran Ahmad, Lamia Pardo, Jane Thompson, Kevin Willer, Michael McMahon, Brett Goldstein, Carson Junginger, Fabrice Serfati Magaña, Nishu Thukral, Erin Willingham, Geoff Trukenbrod, Alex Levine, Matt Carlson, Natalia Macwilliam, Shafiq Shariff, Carolyn Kwon Montgomery, Josh Gordon-Blake, Nick Doulas, Andrei Utkin, Amit Rampurkar, James Cory, Patrick Culligan, James Jago",32.735.048 USD,N/A,Venture - Series Unknown,N/A,N/A,N/A
4890,Pangea Econet Assets,Mumbai,,N/A,N/A,N/A,Keine Angabe,Nein,,N/A,Nein,,N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
4891,Pangalore,San Jose,Gemeinschaft & Lifestyle,N/A,N/A,N/A,Keine Angabe,Nein,Gemeinschaft & LifestyleGaming,N/A,Nein,,N/A,N/A,Series A,N/A,N/A,N/A
4892,Pandorum Technologies,Bengaluru,Forschung & Entwicklung,N/A,N/A,N/A,Keine Angabe,Nein,Forschung & EntwicklungGesundheitswesen & SozialesBiotechnologie,N/A,Nein,"Tuhin Bhowmick, Arun Chandru",9.182.253 USD,N/A,Series B,N/A,N/A,N/A
4893,Pandorama,Moscow,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & MultimediaSoftware,N/A,Nein,"Konstantin Pichugov, Farit Khusnoyarov, Petr Volyak",N/A,N/A,Seed,N/A,N/A,N/A
4894,Pandora Underwater Equipment,Ecublens,Bildung,N/A,N/A,N/A,Keine Angabe,Nein,BildungHandel & EinkaufSport & Unterhaltung,N/A,Nein,,130.000 CHF,N/A,Seed,N/A,N/A,N/A
4895,PandoMedia Inc.,San Francisco,Medien & Verlagswesen,N/A,N/A,N/A,Keine Angabe,Nein,Medien & Verlagswesen,N/A,Nein,"Hamish McKenzie, Paul Bradley Carr, Sarah Lacy, Michael Carney, Erin Griffith, Oni Rovatti, Mick Weinstein, Joseph L. Flatley, Steven Kontz, Adam Penenberg, James Robinson, Nathaniel Mott, Trevor Gilbert",4.200.000 USD,N/A,Series A,N/A,N/A,N/A
4896,Andme Yazılım,Istanbul,Handel & Einkauf,N/A,N/A,N/A,Keine Angabe,Nein,Handel & Einkauf,N/A,Nein,,835.941 USD,N/A,Pre-Seed,N/A,N/A,N/A
4897,PandaWhale,Palo Alto,Internet & Multimedia,N/A,N/A,N/A,Keine Angabe,Nein,Internet & Multimedia,N/A,Nein,"Adam Rifkin, Joyce Park, Lara Druyan",N/A,N/A,Venture - Series Unknown,N/A,N/A,N/A
4898,PandaDoc Inc.,San Francisco,EDV & IT,N/A,N/A,N/A,Keine Angabe,Nein,EDV & ITVertrieb & MarketingSoftware,N/A,Nein,"David Sipes, Mikita Mikado, Ho Nam, Priya Saiprasad, Serge Barysiuk, Leo Luna, Ena Zheng, Richard Bray, Katya Akudovich, Bernard Desarnauts, Nate Gilmore, Jeremy Malander, Jared Fuller, Sergey Keller, Tanya Aulachynskaya, Ryan Tucker, Nikita Martynov, Oleg Tscheltzoff, Tamara Steffens, Ilya Kazimirovskiy, Bradley Andrews, Nate Gilmore",51.055.000 USD,N/A,Series B,N/A,N/A,N/A
4899,Panda Gnss,Wuhan,Hardware,N/A,N/A,N/A,Keine Angabe,Nein,HardwareProduktionSoftware,N/A,Nein,,10.000.000 CNY,N/A,Series A,N/A,N/A,N/A
